tract_2010_boroct,tract_2020_geoid,borough,tract_2010_code,tract_2020_code
5000900,5000900,Staten Island,000900,000900
1010200,1010200,Manhattan,010200,010200
1010400,1010400,Manhattan,010400,010400
1011300,1011300,Manhattan,011300,011300
1013000,1013000,Manhattan,013000,013000
1018400,1018400,Manhattan,018400,018400
1020600,1020600,Manhattan,020600,020600
1024900,1024900,Manhattan,024900,024900
3000501,3000501,Brooklyn,000501,000501
3005800,3005800,Brooklyn,005800,005800
3006000,3006000,Brooklyn,006000,006000
3007400,3007400,Brooklyn,007400,007400
3007800,3007800,Brooklyn,007800,007800
3009800,3009800,Brooklyn,009800,009800
3010400,3010402,Brooklyn,010400,010402
3013700,3013700,Brooklyn,013700,013700
3013900,3013900,Brooklyn,013900,013900
3017000,3017000,Brooklyn,017000,017000
3018800,3018800,Brooklyn,018800,018800
3019000,3019000,Brooklyn,019000,019000
3019400,3019400,Brooklyn,019400,019400
3019600,3019600,Brooklyn,019600,019600
3019800,3019800,Brooklyn,019800,019800
3020400,3020400,Brooklyn,020400,020400
3021200,3021200,Brooklyn,021200,021200
3022200,3022200,Brooklyn,022200,022200
3023600,3023600,Brooklyn,023600,023600
3023800,3023800,Brooklyn,023800,023800
3024000,3024000,Brooklyn,024000,024000
3024200,3024200,Brooklyn,024200,024200
3024600,3024600,Brooklyn,024600,024600
3024900,3024900,Brooklyn,024900,024900
3025200,3025200,Brooklyn,025200,025200
3025800,3025800,Brooklyn,025800,025800
3026000,3026000,Brooklyn,026000,026000
3026600,3026600,Brooklyn,026600,026600
3026700,3026700,Brooklyn,026700,026700
3026900,3026900,Brooklyn,026900,026900
3027000,3027000,Brooklyn,027000,027000
3027200,3027200,Brooklyn,027200,027200
3027300,3027300,Brooklyn,027300,027300
3027800,3027800,Brooklyn,027800,027800
3027900,3027900,Brooklyn,027900,027900
3028400,3028400,Brooklyn,028400,028400
3028800,3028800,Brooklyn,028800,028800
3029100,3029100,Brooklyn,029100,029100
3029300,3029300,Brooklyn,029300,029300
3029800,3029800,Brooklyn,029800,029800
3030000,3030000,Brooklyn,030000,030000
3030900,3030900,Brooklyn,030900,030900
3031701,3031701,Brooklyn,031701,031701
3032900,3032900,Brooklyn,032900,032900
3033900,3033900,Brooklyn,033900,033900
3034100,3034100,Brooklyn,034100,034100
3034200,3034200,Brooklyn,034200,034200
3038800,3038800,Brooklyn,038800,038800
3039600,3039600,Brooklyn,039600,039600
3039900,3039900,Brooklyn,039900,039900
3040400,3040400,Brooklyn,040400,040400
3041300,3041300,Brooklyn,041300,041300
3041401,3041401,Brooklyn,041401,041401
3041500,3041500,Brooklyn,041500,041500
3041700,3041700,Brooklyn,041700,041700
3041900,3041900,Brooklyn,041900,041900
3042800,3042800,Brooklyn,042800,042800
3042900,3042900,Brooklyn,042900,042900
3043000,3043000,Brooklyn,043000,043000
3043300,3043300,Brooklyn,043300,043300
3043400,3043400,Brooklyn,043400,043400
3043500,3043500,Brooklyn,043500,043500
3043600,3043600,Brooklyn,043600,043600
3044000,3044000,Brooklyn,044000,044000
3044100,3044100,Brooklyn,044100,044100
3044200,3044200,Brooklyn,044200,044200
3044300,3044300,Brooklyn,044300,044300
3044400,3044400,Brooklyn,044400,044400
3044600,3044600,Brooklyn,044600,044600
3045200,3045200,Brooklyn,045200,045200
3045400,3045400,Brooklyn,045400,045400
3047000,3047000,Brooklyn,047000,047000
3047200,3047200,Brooklyn,047200,047200
3049500,3049500,Brooklyn,049500,049500
3050300,3050300,Brooklyn,050300,050300
3050500,3050500,Brooklyn,050500,050500
3051001,3051001,Brooklyn,051001,051001
3051400,3051400,Brooklyn,051400,051400
3051601,3051601,Brooklyn,051601,051601
3051700,3051700,Brooklyn,051700,051700
3051800,3051800,Brooklyn,051800,051800
3052800,3052800,Brooklyn,052800,052800
3053200,3053200,Brooklyn,053200,053200
3053400,3053400,Brooklyn,053400,053400
3053800,3053800,Brooklyn,053800,053800
3054400,3054400,Brooklyn,054400,054400
3055000,3055000,Brooklyn,055000,055000
3055200,3055200,Brooklyn,055200,055200
3055800,3055800,Brooklyn,055800,055800
3056000,3056000,Brooklyn,056000,056000
3056200,3056200,Brooklyn,056200,056200
3056400,3056400,Brooklyn,056400,056400
3056600,3056600,Brooklyn,056600,056600
3056800,3056800,Brooklyn,056800,056800
3057000,3057000,Brooklyn,057000,057000
3057200,3057200,Brooklyn,057200,057200
3057400,3057400,Brooklyn,057400,057400
3057600,3057600,Brooklyn,057600,057600
3057800,3057800,Brooklyn,057800,057800
3058000,3058000,Brooklyn,058000,058000
3058600,3058600,Brooklyn,058600,058600
3059200,3059200,Brooklyn,059200,059200
3059401,3059404,Brooklyn,059401,059404
3059402,3059402,Brooklyn,059402,059402
3063200,3063200,Brooklyn,063200,063200
3063600,3063600,Brooklyn,063600,063600
3063800,3066600,Brooklyn,063800,066600
3064000,3064000,Brooklyn,064000,064000
3064600,3064600,Brooklyn,064600,064600
3064800,3064800,Brooklyn,064800,064800
3065000,3065000,Brooklyn,065000,065000
3065200,3065200,Brooklyn,065200,065200
3065400,3065400,Brooklyn,065400,065400
3065600,3065600,Brooklyn,065600,065600
3065800,3065800,Brooklyn,065800,065800
3066000,3066000,Brooklyn,066000,066000
3067000,3067000,Brooklyn,067000,067000
3067200,3067200,Brooklyn,067200,067200
3067400,3067400,Brooklyn,067400,067400
3067600,3067600,Brooklyn,067600,067600
3068000,3068000,Brooklyn,068000,068000
3068200,3068200,Brooklyn,068200,068200
3068600,3068600,Brooklyn,068600,068600
3068800,3068800,Brooklyn,068800,068800
3069000,3069000,Brooklyn,069000,069000
3072800,3072800,Brooklyn,072800,072800
3073400,3073400,Brooklyn,073400,073400
3074000,3074000,Brooklyn,074000,074000
3074800,3074800,Brooklyn,074800,074800
3075200,3075200,Brooklyn,075200,075200
3076000,3076000,Brooklyn,076000,076000
3076200,3076200,Brooklyn,076200,076200
3076800,3076800,Brooklyn,076800,076800
3078400,3078400,Brooklyn,078400,078400
3079601,3079601,Brooklyn,079601,079601
3080000,3080000,Brooklyn,080000,080000
3080400,3080400,Brooklyn,080400,080400
3081400,3081400,Brooklyn,081400,081400
3081800,3081800,Brooklyn,081800,081800
3083200,3083200,Brooklyn,083200,083200
3083600,3083600,Brooklyn,083600,083600
3083800,3083800,Brooklyn,083800,083800
3084000,3084000,Brooklyn,084000,084000
3084800,3084800,Brooklyn,084800,084800
3085000,3085000,Brooklyn,085000,085000
3086200,3086200,Brooklyn,086200,086200
3086800,3086800,Brooklyn,086800,086800
3087000,3087000,Brooklyn,087000,087000
3087800,3087800,Brooklyn,087800,087800
3089000,3089000,Brooklyn,089000,089000
3089600,3089600,Brooklyn,089600,089600
3089800,3089800,Brooklyn,089800,089800
3090200,3090200,Brooklyn,090200,090200
3091600,3091600,Brooklyn,091600,091600
3092400,3092400,Brooklyn,092400,092400
3093000,3093000,Brooklyn,093000,093000
3096400,3096400,Brooklyn,096400,096400
3096600,3096600,Brooklyn,096600,096600
3096800,3096800,Brooklyn,096800,096800
3097000,3097000,Brooklyn,097000,097000
3098400,3098400,Brooklyn,098400,098400
3098600,3098600,Brooklyn,098600,098600
3099200,3099200,Brooklyn,099200,099200
3099400,3099400,Brooklyn,099400,099400
3100400,3100400,Brooklyn,100400,100400
3100600,3100600,Brooklyn,100600,100600
3100800,3100800,Brooklyn,100800,100800
3101000,3101000,Brooklyn,101000,101000
3101400,3101400,Brooklyn,101400,101400
3101600,3101600,Brooklyn,101600,101600
3102000,3102000,Brooklyn,102000,102000
3102400,3102400,Brooklyn,102400,102400
3102600,3102600,Brooklyn,102600,102600
3111000,3111000,Brooklyn,111000,111000
3112400,3112400,Brooklyn,112400,112400
3112600,3112600,Brooklyn,112600,112600
3112800,3112800,Brooklyn,112800,112800
3113000,3113000,Brooklyn,113000,113000
3113400,3113400,Brooklyn,113400,113400
3115600,3115600,Brooklyn,115600,115600
3116000,3116000,Brooklyn,116000,116000
3116400,3116400,Brooklyn,116400,116400
3117000,3117000,Brooklyn,117000,117000
3117201,3117201,Brooklyn,117201,117201
3117202,3117202,Brooklyn,117202,117202
3119400,3119400,Brooklyn,119400,119400
2003800,2003800,Bronx,003800,003800
2004001,2004001,Bronx,004001,004001
2004400,2004400,Bronx,004400,004400
2004800,2004800,Bronx,004800,004800
2006800,2006800,Bronx,006800,006800
2007000,2007000,Bronx,007000,007000
2012500,2012500,Bronx,012500,012500
2016200,2016200,Bronx,016200,016200
2017500,2017500,Bronx,017500,017500
2017902,2017902,Bronx,017902,017902
2022102,2022102,Bronx,022102,022102
2022300,2022300,Bronx,022300,022300
