legacy_id,legacy_name,legacy_lat,legacy_lon,trip_count,modern_id,modern_name,match_score,match_confidence,match_distance_m
519,Pershing Square North,40.751873,-73.977706,1075680,,,0,none,0
497,E 17 St & Broadway,40.73704984,-73.99009296,828267,1975518396279321266,E 17 St & Broadway,98.8,high,6.0
435,W 21 St & 6 Ave,40.74173969,-73.99415556,775162,66dc120f-0aca-11e7-82f6-3863bb44ef7c,W 21 St & 6 Ave,100.0,high,0.0
402,Broadway & E 22 St,40.7403432,-73.98955109,736960,5f7ac86c-1a98-4603-8749-4bb83ac84acd,Broadway & E 21 St,86.0,medium,50.7
426,West St & Chambers St,40.71754834,-74.01322069,730381,66dc0e99-0aca-11e7-82f6-3863bb44ef7c,West St & Chambers St,100.0,high,0.0
285,Broadway & E 14 St,40.73454567,-73.99074142,700436,66db6387-0aca-11e7-82f6-3863bb44ef7c,Broadway & E 14 St,100.0,high,0.0
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,673119,66db65aa-0aca-11e7-82f6-3863bb44ef7c,Lafayette St & E 8 St,100.0,high,0.0
490,8 Ave & W 33 St,40.751551,-73.993934,648862,66dc686c-0aca-11e7-82f6-3863bb44ef7c,8 Ave & W 33 St,97.2,high,14.0
477,W 41 St & 8 Ave,40.75640548,-73.9900262,624389,66dc3f08-0aca-11e7-82f6-3863bb44ef7c,W 41 St & 8 Ave,100.0,high,0.0
459,W 20 St & 11 Ave,40.746745,-74.007756,624221,66dc24b8-0aca-11e7-82f6-3863bb44ef7c,W 20 St & 11 Ave,100.0,high,0.0
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,598002,66db2fd0-0aca-11e7-82f6-3863bb44ef7c,Cleveland Pl & Spring St,100.0,high,0.0
499,Broadway & W 60 St,40.76915505,-73.98191841,597920,72196024-6f2b-45cb-9764-609911c7dc0b,Broadway & W 61 St,76.6,medium,97.4
368,Carmine St & 6 Ave,40.73038599,-74.00214988,585591,66dbce8a-0aca-11e7-82f6-3863bb44ef7c,Carmine St & 6 Ave,100.0,high,0.0
358,Christopher St & Greenwich St,40.73291553,-74.00711384,582885,66dbc8f5-0aca-11e7-82f6-3863bb44ef7c,Christopher St & Greenwich St,100.0,high,0.0
514,12 Ave & W 40 St,40.76087502,-74.00277668,562570,66dc7d58-0aca-11e7-82f6-3863bb44ef7c,12 Ave & W 40 St,100.0,high,0.0
382,University Pl & E 14 St,40.73492695,-73.99200509,538400,b30815c0-99b6-451b-be15-902992cb8abb,University Pl & E 14 St,97.1,high,14.3
168,W 18 St & 6 Ave,40.73971301,-73.99456405,535451,66db33fc-0aca-11e7-82f6-3863bb44ef7c,W 18 St & 6 Ave,100.0,high,0.0
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,535334,66dc9068-0aca-11e7-82f6-3863bb44ef7c,Central Park S & 6 Ave,100.0,high,0.0
379,W 31 St & 7 Ave,40.749156,-73.9916,533838,66dbe4db-0aca-11e7-82f6-3863bb44ef7c,W 31 St & 7 Ave,100.0,high,0.0
523,W 38 St & 8 Ave,40.75466591,-73.99138152,533169,8d097a6d-f17c-4195-9dd4-42527b371c71,8 Ave & W 38 St,93.3,high,33.3
6140.05,W 21 St & 6 Ave,40.74173969,-73.99415556,528140,66dc120f-0aca-11e7-82f6-3863bb44ef7c,W 21 St & 6 Ave,100.0,high,0.0
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,524007,1964061627836181486,Central Park S & Grand Army Plaza,94.6,high,26.9
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,519989,66db8d89-0aca-11e7-82f6-3863bb44ef7c,Vesey Pl & River Terrace,100.0,high,0.0
3002,South End Ave & Liberty St,40.711512,-74.015756,518821,3b530cff-dd26-4cfd-b570-a85fd53354fe,West St & Liberty St,60.3,low,77.0
492,W 33 St & 7 Ave,40.75019995,-73.99093085,516473,66dbe4db-0aca-11e7-82f6-3863bb44ef7c,W 31 St & 7 Ave,69.5,medium,129.0
387,Centre St & Chambers St,40.71273266,-74.0046073,501640,66dbe8d6-0aca-11e7-82f6-3863bb44ef7c,Centre St & Chambers St,100.0,high,0.0
504,1 Ave & E 16 St,40.73221853,-73.98165557,494154,66dc7802-0aca-11e7-82f6-3863bb44ef7c,1 Ave & E 16 St,100.0,high,0.0
229,Great Jones St,40.72743423,-73.99379025,491533,66db3a1e-0aca-11e7-82f6-3863bb44ef7c,Great Jones St,100.0,high,0.0
505,6 Ave & W 33 St,40.74901271,-73.98848395,491450,66dc78c4-0aca-11e7-82f6-3863bb44ef7c,6 Ave & W 33 St,100.0,high,0.0
359,E 47 St & Park Ave,40.75510267,-73.97498696,483040,66dbc982-0aca-11e7-82f6-3863bb44ef7c,E 47 St & Park Ave,100.0,high,0.0
446,W 24 St & 7 Ave,40.74487634,-73.99529885,478150,66dc1c5c-0aca-11e7-82f6-3863bb44ef7c,W 24 St & 7 Ave,100.0,high,0.0
5329.03,West St & Chambers St,40.71754834,-74.01322069,476713,66dc0e99-0aca-11e7-82f6-3863bb44ef7c,West St & Chambers St,100.0,high,0.0
127,Barrow St & Hudson St,40.73172428,-74.00674436,463313,66db2a71-0aca-11e7-82f6-3863bb44ef7c,Barrow St & Hudson St,100.0,high,0.0
462,W 22 St & 10 Ave,40.74691959,-74.00451887,460192,66dc2606-0aca-11e7-82f6-3863bb44ef7c,W 22 St & 10 Ave,100.0,high,0.0
128,MacDougal St & Prince St,40.72710258,-74.00297088,458374,66db2afe-0aca-11e7-82f6-3863bb44ef7c,MacDougal St & Prince St,100.0,high,0.0
472,E 32 St & Park Ave,40.7457121,-73.98194829,458233,66dc3a1a-0aca-11e7-82f6-3863bb44ef7c,E 32 St & Park Ave,100.0,high,0.0
465,Broadway & W 41 St,40.75513557,-73.98658032,448805,66dc292c-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 41 St,100.0,high,0.0
432,E 7 St & Avenue A,40.72621788,-73.98379855,448148,66dc10d1-0aca-11e7-82f6-3863bb44ef7c,E 7 St & Ave A,93.2,high,0.0
6822.09,1 Ave & E 68 St,40.76500525,-73.95818491,444789,66dd42eb-0aca-11e7-82f6-3863bb44ef7c,1 Ave & E 68 St,100.0,high,0.0
445,E 10 St & Avenue A,40.72740794,-73.98142006,443185,66dc1beb-0aca-11e7-82f6-3863bb44ef7c,E 10 St & Ave A,93.6,high,0.0
442,W 27 St & 7 Ave,40.746647,-73.993915,439769,1960021358478625244,W 27 St & 7 Ave,99.9,high,0.5
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,436789,66db631c-0aca-11e7-82f6-3863bb44ef7c,Greenwich Ave & 8 Ave,100.0,high,0.0
509,9 Ave & W 22 St,40.7454973,-74.00197139,435948,66dc7a7d-0aca-11e7-82f6-3863bb44ef7c,9 Ave & W 22 St,100.0,high,0.0
